sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,Prefix_filename,SRA_accession,SRA_experiment,year,yday,stationId,dist_km,Continental_clusters
NW_BIO4_S2_140711,US,Hoytville,2013-06-20,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool8_140711,SRR3190073,SRX1602084,2013,171,USHOH0001,NA,1.Nort_America
NW_BIO4_S2_140722,US,Hoytville,2013-06-20,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool8_140722,SRR3190073,SRX1602084,2013,171,USHOH0001,NA,1.Nort_America
NW_BIO4_S2_140725,US,Hoytville,2013-06-20,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool8_140725,SRR3190073,SRX1602084,2013,171,USHOH0001,NA,1.Nort_America
NW_BIO4_S2_140730,US,Hoytville,2013-06-20,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool8_140730,SRR3190073,SRX1602084,2013,171,USHOH0001,NA,1.Nort_America
NW_BIO4_S3_140711,US,Hoytville,2013-06-24,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool9_140711,SRR3190074,SRX1602085,2013,175,USHOH0001,NA,1.Nort_America
NW_BIO4_S3_140722,US,Hoytville,2013-06-24,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool9_140722,SRR3190074,SRX1602085,2013,175,USHOH0001,NA,1.Nort_America
NW_BIO4_S3_140725,US,Hoytville,2013-06-24,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool9_140725,SRR3190074,SRX1602085,2013,175,USHOH0001,NA,1.Nort_America
NW_BIO4_S3_140730,US,Hoytville,2013-06-24,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool9_140730,SRR3190074,SRX1602085,2013,175,USHOH0001,NA,1.Nort_America
PA_BIO1_S1_140711,US,Rock Springs,2013-06-08,40.79,-77.86,Summer,PA_BIO1,Pooled,North America,AndyLab_genome,5,Pool10_140711,SRR3190075,SRX1602086,2013,159,USRPA0001,NA,1.Nort_America
PA_BIO1_S1_140722,US,Rock Springs,2013-06-08,40.79,-77.86,Summer,PA_BIO1,Pooled,North America,AndyLab_genome,5,Pool10_140722,SRR3190075,SRX1602086,2013,159,USRPA0001,NA,1.Nort_America
PA_BIO1_S1_140725,US,Rock Springs,2013-06-08,40.79,-77.86,Summer,PA_BIO1,Pooled,North America,AndyLab_genome,5,Pool10_140725,SRR3190075,SRX1602086,2013,159,USRPA0001,NA,1.Nort_America
PA_BIO1_S1_140730,US,Rock Springs,2013-06-08,40.79,-77.86,Summer,PA_BIO1,Pooled,North America,AndyLab_genome,5,Pool10_140730,SRR3190075,SRX1602086,2013,159,USRPA0001,NA,1.Nort_America
PA_BIO4_S1_140711,US,Rock Springs,2013-06-10,40.79,-77.86,Summer,PA_BIO4,Pooled,North America,AndyLab_genome,5,Pool11_140711,SRR3190076,SRX1602087,2013,161,USRPA0001,NA,1.Nort_America
PA_BIO4_S1_140722,US,Rock Springs,2013-06-10,40.79,-77.86,Summer,PA_BIO4,Pooled,North America,AndyLab_genome,5,Pool11_140722,SRR3190076,SRX1602087,2013,161,USRPA0001,NA,1.Nort_America
PA_BIO4_S1_140725,US,Rock Springs,2013-06-10,40.79,-77.86,Summer,PA_BIO4,Pooled,North America,AndyLab_genome,5,Pool11_140725,SRR3190076,SRX1602087,2013,161,USRPA0001,NA,1.Nort_America
PA_BIO4_S1_140730,US,Rock Springs,2013-06-10,40.79,-77.86,Summer,PA_BIO4,Pooled,North America,AndyLab_genome,5,Pool11_140730,SRR3190076,SRX1602087,2013,161,USRPA0001,NA,1.Nort_America
PA_BIO4_S2_140711,US,Rock Springs,2013-06-11,40.79,-77.86,Summer,PA_BIO4,Pooled,North America,AndyLab_genome,5,Pool12_140711,SRR3190077,SRX1602088,2013,162,USRPA0001,NA,1.Nort_America
PA_BIO4_S2_140722,US,Rock Springs,2013-06-11,40.79,-77.86,Summer,PA_BIO4,Pooled,North America,AndyLab_genome,5,Pool12_140722,SRR3190077,SRX1602088,2013,162,USRPA0001,NA,1.Nort_America
PA_BIO4_S2_140725,US,Rock Springs,2013-06-11,40.79,-77.86,Summer,PA_BIO4,Pooled,North America,AndyLab_genome,5,Pool12_140725,SRR3190077,SRX1602088,2013,162,USRPA0001,NA,1.Nort_America
PA_BIO4_S2_140730,US,Rock Springs,2013-06-11,40.79,-77.86,Summer,PA_BIO4,Pooled,North America,AndyLab_genome,5,Pool12_140730,SRR3190077,SRX1602088,2013,162,USRPA0001,NA,1.Nort_America
WO_BIO1_S1_140711,US,Wooster,2013-06-26,40.78,-81.93,Summer,WO_BIO1,Pooled,North America,AndyLab_genome,5,Pool13_140711,SRR3190083,SRX1602094,2013,177,USWOH0002,NA,1.Nort_America
WO_BIO1_S1_140722,US,Wooster,2013-06-26,40.78,-81.93,Summer,WO_BIO1,Pooled,North America,AndyLab_genome,5,Pool13_140722,SRR3190083,SRX1602094,2013,177,USWOH0002,NA,1.Nort_America
WO_BIO1_S1_140725,US,Wooster,2013-06-26,40.78,-81.93,Summer,WO_BIO1,Pooled,North America,AndyLab_genome,5,Pool13_140725,SRR3190083,SRX1602094,2013,177,USWOH0002,NA,1.Nort_America
WO_BIO1_S1_140730,US,Wooster,2013-06-26,40.78,-81.93,Summer,WO_BIO1,Pooled,North America,AndyLab_genome,5,Pool13_140730,SRR3190083,SRX1602094,2013,177,USWOH0002,NA,1.Nort_America
WO_BIO4_S1_140711,US,Wooster,2013-07-01,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool14_140711,SRR3190084,SRX1602095,2013,182,USWOH0002,NA,1.Nort_America
WO_BIO4_S1_140722,US,Wooster,2013-07-01,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool14_140722,SRR3190084,SRX1602095,2013,182,USWOH0002,NA,1.Nort_America
WO_BIO4_S1_140725,US,Wooster,2013-07-01,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool14_140725,SRR3190084,SRX1602095,2013,182,USWOH0002,NA,1.Nort_America
WO_BIO4_S1_140730,US,Wooster,2013-07-01,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool14_140730,SRR3190084,SRX1602095,2013,182,USWOH0002,NA,1.Nort_America
WO_BIO4_S2_140711,US,Wooster,2013-07-04,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool15_140711,SRR3190085,SRX1602096,2013,185,USWOH0002,NA,1.Nort_America
WO_BIO4_S2_140722,US,Wooster,2013-07-04,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool15_140722,SRR3190085,SRX1602096,2013,185,USWOH0002,NA,1.Nort_America
WO_BIO4_S2_140725,US,Wooster,2013-07-04,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool15_140725,SRR3190085,SRX1602096,2013,185,USWOH0002,NA,1.Nort_America
