Estimate	Std. Error	t value	Pr(>|t|)	V5	V6
0.108832859248564	0.307223561744876	0.354246460233868	0.723438040370066	37	lat
-0.484391795631004	1.12234662978608	-0.431588408407595	0.666394164559024	37	long
0.422086129613109	0.307759174527079	1.37148187462392	0.171393736365403	38	lat
-0.396140311114252	1.12818253494347	-0.351131398372606	0.725770889382446	38	long
0.0759889489804974	0.311421935849983	0.244006411343813	0.807416092367527	39	lat
0.0922344562997102	1.13793005412699	0.0810545920333141	0.935460183968635	39	long
-0.208432948408465	0.312872386604308	-0.666191576286568	0.505872583849991	40	lat
0.523290488042353	1.14362383849776	0.457572210745219	0.647637586440858	40	long
0.0306878849205278	0.315830705783305	0.0971656154977633	0.922668878317746	41	lat
-0.071032620126761	1.15393582382699	-0.0615568202841504	0.950962517412053	41	long
-0.106342221502594	0.322064527663015	-0.330189177536072	0.741519886002362	42	lat
